N6705C exported datalog

"Sample interval: 0.0001024"
"Trigger sample: 206"
"Date: Sat Apr  5 05:44:18 2025"

Sample,"Volt avg 1","Curr avg 1"
206,3.83841,-0.191924
207,3.92795,-0.188681
208,4.05363,-0.190323
209,4.10464,-0.191044
210,4.12607,-0.1917
211,4.13323,-0.191696
212,4.13613,-0.191864
213,4.13748,-0.191401
214,4.13822,-0.191924
215,4.13865,-0.191911
216,4.13838,-0.191881
217,4.13854,-0.191939
218,4.13835,-0.191967
219,4.13838,-0.191661
220,4.13851,-0.191872
221,4.1389,-0.191889
222,4.13857,-0.191868
223,4.13817,-0.191901
224,4.13882,-0.191455
225,4.13812,-0.191851
226,4.13845,-0.191827
227,4.13868,-0.191847
228,4.13845,-0.191809
229,4.13858,-0.19169
230,4.13833,-0.191868
231,4.13774,-0.191887
232,4.13817,-0.191802
233,4.1382,-0.191612
234,4.13861,-0.19185
235,4.13863,-0.191872
236,4.13814,-0.19191
237,4.13832,-0.191924
238,4.13836,-0.191619
239,4.13886,-0.191878
240,4.13875,-0.191826
241,4.13836,-0.191789
242,4.13852,-0.191874
243,4.13847,-0.19157
244,4.13845,-0.191906
245,4.13849,-0.191901
246,4.13886,-0.191846
247,4.13854,-0.191633
248,4.13805,-0.191821
249,4.13819,-0.191886
250,4.13799,-0.191854
251,4.1385,-0.191854
252,4.13816,-0.191588
253,4.1386,-0.191916
254,4.13853,-0.191967
255,4.13836,-0.191912
256,4.13853,-0.191608
257,4.13793,-0.191893
258,4.13817,-0.191813
259,4.13853,-0.19184
260,4.13825,-0.191641
261,4.13875,-0.191687
262,4.138,-0.191821
263,4.13857,-0.191779
264,4.13819,-0.19185
265,4.13886,-0.191661
266,4.13835,-0.191895
267,4.13833,-0.191831
268,4.13817,-0.191877
269,4.13844,-0.191962
270,4.13863,-0.191577
271,4.13885,-0.191758
272,4.13818,-0.191813
273,4.13856,-0.191783
274,4.13833,-0.191809
275,4.13816,-0.191592
276,4.13823,-0.191864
277,4.13868,-0.191778
278,4.13846,-0.191854
279,4.13855,-0.19156
280,4.13858,-0.191902
281,4.13799,-0.191883
282,4.1384,-0.191873
283,4.13848,-0.191821
284,4.13865,-0.191577
285,4.13814,-0.19183
286,4.13836,-0.19187
287,4.13795,-0.191915
288,4.13812,-0.191839
289,4.13857,-0.191452
290,4.13815,-0.191938
291,4.13902,-0.191833
292,4.13858,-0.191909
293,4.13822,-0.191833
294,4.13777,-0.191826
295,4.13829,-0.191605
296,4.13886,-0.191839
297,4.13834,-0.191837
298,4.13802,-0.191837
299,4.13844,-0.191451
300,4.1381,-0.191836
301,4.13855,-0.191762
302,4.1386,-0.191546
303,4.13853,-0.191475
304,4.13853,-0.19044
305,4.13797,-0.189754
306,4.13872,-0.189982
307,4.13836,-0.19042
308,4.13809,-0.190545
309,4.13847,-0.190325
310,4.13839,-0.18996
311,4.13797,-0.190769
312,4.13817,-0.190853
313,4.13754,-0.190342
314,4.13787,-0.190283
315,4.13836,-0.190043
316,4.13751,-0.188887
317,4.13782,-0.189114
318,4.13795,-0.189838
319,4.13815,-0.190046
320,4.13792,-0.189843
321,4.13804,-0.189061
322,4.13822,-0.189501
323,4.13827,-0.189779
324,4.13783,-0.189803
325,4.13765,-0.189181
326,4.13759,-0.188657
327,4.1375,-0.188728
328,4.1384,-0.188602
329,4.13773,-0.189095
330,4.13783,-0.188814
331,4.13759,-0.188699
332,4.13875,-0.189655
333,4.13795,-0.189302
334,4.13846,-0.189362
335,4.13774,-0.18905
336,4.13814,-0.189574
337,4.13753,-0.189313
338,4.13771,-0.189135
339,4.13798,-0.189643
340,4.13827,-0.19042
341,4.13829,-0.18979
342,4.13803,-0.189302
343,4.13851,-0.189988
344,4.13831,-0.189943
345,4.13774,-0.189487
346,4.13833,-0.19003
347,4.13824,-0.189624
348,4.13867,-0.190716
349,4.13851,-0.19146
350,4.13773,-0.190629
351,4.13793,-0.190557
352,4.13836,-0.190079
353,4.13832,-0.18991
354,4.13794,-0.189665
355,4.13808,-0.19001
356,4.1383,-0.190254
357,4.13768,-0.190559
358,4.13811,-0.190657
359,4.13836,-0.190767
360,4.13845,-0.190549
361,4.13792,-0.191231
362,4.13808,-0.190896
363,4.13808,-0.1909
364,4.13845,-0.192403
365,4.13838,-0.191228
366,4.13826,-0.190912
367,4.13819,-0.190731
368,4.13833,-0.190572
369,4.13846,-0.191457
370,4.13846,-0.190814
371,4.13847,-0.191124
372,4.13811,-0.190784
373,4.1384,-0.190203
374,4.13834,-0.190418
375,4.13773,-0.189973
